0 hermite_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
12 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000516,0.0000000568,0.0000000568
13 laguerre_formula_-0.001000_0.001000,0.0000000277,-0.0000000582,0.0000000582,0.0000000582
14 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000579,0.0000000585,0.0000000585
15 laguerre_formula_-0.001000_0.001000,0.0000000250,-0.0000000566,0.0000000588,0.0000000588
16 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000561,0.0000000577,0.0000000577
17 laguerre_formula_-0.001000_0.001000,0.0000000217,-0.0000000499,0.0000000514,0.0000000514
18 laguerre_formula_-0.001000_0.001000,0.0000000248,-0.0000000564,0.0000000532,0.0000000564
1 laguerre_formula_-0.001000_0.001000,0.0000000262,-0.0000000442,0.0000000579,0.0000000579
19 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000589,0.0000000573,0.0000000589
2 laguerre_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.001000_0.001000,0.0000000226,-0.0000000457,0.0000000586,0.0000000586
4 laguerre_formula_-0.001000_0.001000,0.0000000243,-0.0000000562,0.0000000551,0.0000000562
5 laguerre_formula_-0.001000_0.001000,0.0000000259,-0.0000000590,0.0000000568,0.0000000590
6 laguerre_formula_-0.001000_0.001000,0.0000000242,-0.0000000562,0.0000000593,0.0000000593
7 laguerre_formula_-0.001000_0.001000,0.0000000253,-0.0000000594,0.0000000555,0.0000000594
8 laguerre_formula_-0.001000_0.001000,0.0000000240,-0.0000000562,0.0000000582,0.0000000582
9 laguerre_formula_-0.001000_0.001000,0.0000000273,-0.0000000584,0.0000000556,0.0000000584
,0.0000000230,-0.0000000591,0.0000000569,0.0000000591
0 laguerre_formula_-0.010000_0.010000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-0.010000_0.010000,0.0000000245,-0.0000000508,0.0000000552,0.0000000552
11 laguerre_formula_-0.010000_0.010000,0.0000000218,-0.0000000513,0.0000000544,0.0000000544
12 laguerre_formula_-0.010000_0.010000,0.0000000253,-0.0000000559,0.0000000575,0.0000000575
13 laguerre_formula_-0.010000_0.010000,0.0000000269,-0.0000000532,0.0000000557,0.0000000557
14 laguerre_formula_-0.010000_0.010000,0.0000000247,-0.0000000548,0.0000000524,0.0000000548
15 laguerre_formula_-0.010000_0.010000,0.0000000251,-0.0000000572,0.0000000505,0.0000000572
16 laguerre_formula_-0.010000_0.010000,0.0000000266,-0.0000000551,0.0000000550,0.0000000551
17 laguerre_formula_-0.010000_0.010000,0.0000000237,-0.0000000540,0.0000000535,0.0000000540
18 laguerre_formula_-0.010000_0.010000,0.0000000234,-0.0000000562,0.0000000536,0.0000000562
1 laguerre_formula_-0.010000_0.010000,0.0000000253,-0.0000000559,0.0000000512,0.0000000559
19 laguerre_formula_-0.010000_0.010000,0.0000000222,-0.0000000534,0.0000000554,0.0000000554
2 laguerre_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.010000_0.010000,0.0000000255,-0.0000000530,0.0000000567,0.0000000567
4 laguerre_formula_-0.010000_0.010000,0.0000000261,-0.0000000554,0.0000000534,0.0000000554
5 laguerre_formula_-0.010000_0.010000,0.0000000258,-0.0000000571,0.0000000565,0.0000000571
6 laguerre_formula_-0.010000_0.010000,0.0000000274,-0.0000000573,0.0000000549,0.0000000573
7 laguerre_formula_-0.010000_0.010000,0.0000000254,-0.0000000565,0.0000000576,0.0000000576
8 laguerre_formula_-0.010000_0.010000,0.0000000278,-0.0000000584,0.0000000591,0.0000000591
9 laguerre_formula_-0.010000_0.010000,0.0000000228,-0.0000000516,0.0000000544,0.0000000544
,0.0000000245,-0.0000000516,0.0000000526,0.0000000526
0 laguerre_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-0.100000_0.100000,0.0000000170,-0.0000000413,0.0000000557,0.0000000557
11 laguerre_formula_-0.100000_0.100000,0.0000036004,-0.0000004138,0.0002185664,0.0002185664
12 laguerre_formula_-0.100000_0.100000,0.0000000929,-0.0000013589,0.0000013559,0.0000013589
13 laguerre_formula_-0.100000_0.100000,0.0000000820,-0.0000005998,0.0000013223,0.0000013223
14 laguerre_formula_-0.100000_0.100000,0.0000001766,-0.0000076513,0.0000002993,0.0000076513
15 laguerre_formula_-0.100000_0.100000,0.0000000325,-0.0000001259,0.0000001338,0.0000001338
16 laguerre_formula_-0.100000_0.100000,0.0000000244,-0.0000000803,0.0000000599,0.0000000803
17 laguerre_formula_-0.100000_0.100000,0.0000000234,-0.0000000630,0.0000000572,0.0000000630
18 laguerre_formula_-0.100000_0.100000,0.0000000226,-0.0000000557,0.0000000459,0.0000000557
1 laguerre_formula_-0.100000_0.100000,0.0000000249,-0.0000000527,0.0000000547,0.0000000547
19 laguerre_formula_-0.100000_0.100000,0.0000000195,-0.0000000461,0.0000000367,0.0000000461
2 laguerre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.100000_0.100000,0.0000000215,-0.0000000464,0.0000000469,0.0000000469
4 laguerre_formula_-0.100000_0.100000,0.0000000179,-0.0000000365,0.0000000475,0.0000000475
5 laguerre_formula_-0.100000_0.100000,0.0000000202,-0.0000000417,0.0000000489,0.0000000489
6 laguerre_formula_-0.100000_0.100000,0.0000000211,-0.0000000492,0.0000000547,0.0000000547
7 laguerre_formula_-0.100000_0.100000,0.0000000249,-0.0000000475,0.0000000475,0.0000000475
8 laguerre_formula_-0.100000_0.100000,0.0000000237,-0.0000000566,0.0000000556,0.0000000566
9 laguerre_formula_-0.100000_0.100000,0.0000000265,-0.0000000622,0.0000000636,0.0000000636
,0.0000000283,-0.0000001032,0.0000000613,0.0000001032
0 legendre_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-0.001000_0.001000,0.0000000245,-0.0000000545,0.0000000560,0.0000000560
11 legendre_formula_-0.001000_0.001000,0.0000000216,-0.0000000478,0.0000000559,0.0000000559
12 legendre_formula_-0.001000_0.001000,0.0000000194,-0.0000000373,0.0000000365,0.0000000373
13 legendre_formula_-0.001000_0.001000,0.0000000214,-0.0000000563,0.0000000526,0.0000000563
14 legendre_formula_-0.001000_0.001000,0.0000000178,-0.0000000351,0.0000000344,0.0000000351
15 legendre_formula_-0.001000_0.001000,0.0000000227,-0.0000000473,0.0000000581,0.0000000581
16 legendre_formula_-0.001000_0.001000,0.0000000187,-0.0000000323,0.0000000327,0.0000000327
17 legendre_formula_-0.001000_0.001000,0.0000000229,-0.0000000551,0.0000000510,0.0000000551
18 legendre_formula_-0.001000_0.001000,0.0000000151,-0.0000000294,0.0000000302,0.0000000302
1 legendre_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-0.001000_0.001000,0.0000000263,-0.0000000535,0.0000000539,0.0000000539
2 legendre_formula_-0.001000_0.001000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-0.001000_0.001000,0.0000000217,-0.0000000568,0.0000000490,0.0000000568
4 legendre_formula_-0.001000_0.001000,0.0000000230,-0.0000000477,0.0000000469,0.0000000477
5 legendre_formula_-0.001000_0.001000,0.0000000202,-0.0000000535,0.0000000421,0.0000000535
6 legendre_formula_-0.001000_0.001000,0.0000000158,-0.0000000335,0.0000000395,0.0000000395
7 legendre_formula_-0.001000_0.001000,0.0000000246,-0.0000000527,0.0000000454,0.0000000527
8 legendre_formula_-0.001000_0.001000,0.0000000164,-0.0000000292,0.0000000297,0.0000000297
9 legendre_formula_-0.001000_0.001000,0.0000000218,-0.0000000428,0.0000000488,0.0000000488
,0.0000000209,-0.0000000399,0.0000000391,0.0000000399
0 legendre_formula_-0.010000_0.010000,"Average Error","Error LB","Error UB","Abs. Worst"
