0 hermite_formula_0.9_1.1
10 hermite_formula_0.9_1.1
11 hermite_formula_0.9_1.1
12 hermite_formula_0.9_1.1
13 hermite_formula_0.9_1.1
14 hermite_formula_0.9_1.1
16 hermite_formula_0.9_1.1
17 hermite_formula_0.9_1.1
18 hermite_formula_0.9_1.1
1 hermite_formula_0.9_1.1
19 hermite_formula_0.9_1.1
2 hermite_formula_0.9_1.1
3 hermite_formula_0.9_1.1
4 hermite_formula_0.9_1.1
5 hermite_formula_0.9_1.1
6 hermite_formula_0.9_1.1
7 hermite_formula_0.9_1.1
8 hermite_formula_0.9_1.1
9 hermite_formula_0.9_1.1
