0 legendre_formula_-1.05_-0.95,"Average Error","Error LB","Error UB","Abs. Worst"
14 legendre_formula_-1.05_-0.95,0.0000000219,-0.0000000539,0.0000000538,0.0000000539
15 legendre_formula_-1.05_-0.95,0.0000000834,-0.0000005238,0.0000015285,0.0000015285
17 legendre_formula_-1.05_-0.95,0.0000000272,-0.0000000959,0.0000001027,0.0000001027
18 legendre_formula_-1.05_-0.95,0.0000000224,-0.0000000571,0.0000000549,0.0000000571
1 legendre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.05_-0.95,0.0000000199,-0.0000000427,0.0000000436,0.0000000436
2 legendre_formula_-1.05_-0.95,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-1.05_-0.95,0.0000000222,-0.0000000530,0.0000000584,0.0000000584
4 legendre_formula_-1.05_-0.95,0.0000000213,-0.0000000497,0.0000000497,0.0000000497
5 legendre_formula_-1.05_-0.95,0.0000000174,-0.0000000390,0.0000000441,0.0000000441
6 legendre_formula_-1.05_-0.95,0.0000000216,-0.0000000480,0.0000000456,0.0000000480
7 legendre_formula_-1.05_-0.95,0.0000000207,-0.0000000453,0.0000000534,0.0000000534
,0.0000000229,-0.0000000569,0.0000000551,0.0000000569
