0 legendre_formula_-100.000000_100.000000,"Average Error","Error LB","Error UB","Abs. Worst"
11 legendre_formula_-100.000000_100.000000,0.0000000690,-0.0000024870,0.0000005515,0.0000024870
12 legendre_formula_-100.000000_100.000000,0.0000000828,-0.0000002451,0.0000001594,0.0000002451
13 legendre_formula_-100.000000_100.000000,0.0000001239,-0.0000003704,0.0000002424,0.0000003704
14 legendre_formula_-100.000000_100.000000,0.0000000198,-0.0000000475,0.0000000468,0.0000000475
15 legendre_formula_-100.000000_100.000000,0.0000000648,-0.0000001999,0.0000001568,0.0000001999
16 legendre_formula_-100.000000_100.000000,0.0000000580,-0.0000001669,0.0000001426,0.0000001669
17 legendre_formula_-100.000000_100.000000,0.0000000641,-0.0000002548,0.0000001782,0.0000002548
18 legendre_formula_-100.000000_100.000000,0.0000001207,-0.0000003833,0.0000002413,0.0000003833
1 legendre_formula_-100.000000_100.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-100.000000_100.000000,0.0000000223,-0.0000000458,0.0000000463,0.0000000463
2 legendre_formula_-100.000000_100.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-100.000000_100.000000,0.0000000631,-0.0000001748,0.0000001710,0.0000001748
4 legendre_formula_-100.000000_100.000000,0.0000000522,-0.0000001665,0.0000001269,0.0000001665
5 legendre_formula_-100.000000_100.000000,0.0000000556,-0.0000001417,0.0000001096,0.0000001417
6 legendre_formula_-100.000000_100.000000,0.0000000245,-0.0000000896,0.0000001015,0.0000001015
7 legendre_formula_-100.000000_100.000000,0.0000000394,-0.0000001129,0.0000000959,0.0000001129
9 legendre_formula_-100.000000_100.000000,0.0000000238,-0.0000000563,0.0000000545,0.0000000563
,0.0000001213,-0.0000006657,0.0000004435,0.0000006657
