15 hermite_formula_-10000000000000000.0000000_10000000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
,0.000000029,-0.000000029,-0.000000029,0.000000029
0 hermite_formula_-10000000000.0000000_10000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
12 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
14 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
15 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
16 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
1 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
3 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
5 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
8 hermite_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
,0,0,0,0
0 hermite_formula_-1000000000.0000000_1000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
11 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
12 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
13 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
15 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
16 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
17 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
1 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
2 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
3 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
4 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
5 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
6 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
8 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
9 hermite_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
,0.000000029,-0.000000029,-0.000000029,0.000000029
0 hermite_formula_-10000000.0000000_100000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
13 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
14 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
15 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
17 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
2 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
3 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
4 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
5 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
8 hermite_formula_-10000000.0000000_100000000.000000,0,0,0,0
,0,0,0,0
0 hermite_formula_-1000000.0000000_10000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
11 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
13 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
14 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
15 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
16 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
17 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
1 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
2 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
3 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
4 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
5 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
6 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
8 hermite_formula_-1000000.0000000_10000000.000000,0,0,0,0
,0,0,0,0
17 hermite_formula_-100000.0000000_1000000.000000,Average Error,Error LB,Error UB,Abs. Worst
3 hermite_formula_-100000.0000000_1000000.000000,0,0,0,0
,0,0,0,0
17 hermite_formula_-10000.0000000_100000.000000,Average Error,Error LB,Error UB,Abs. Worst
,0,0,0,0
0 hermite_formula_-10000.000000_10000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-10000.000000_10000.000000,0,0,0,0
11 hermite_formula_-10000.000000_10000.000000,0,0,0,0
12 hermite_formula_-10000.000000_10000.000000,0,0,0,0
13 hermite_formula_-10000.000000_10000.000000,0,0,0,0
14 hermite_formula_-10000.000000_10000.000000,0,0,0,0
15 hermite_formula_-10000.000000_10000.000000,0,0,0,0
16 hermite_formula_-10000.000000_10000.000000,0,0,0,0
17 hermite_formula_-10000.000000_10000.000000,0,0,0,0
1 hermite_formula_-10000.000000_10000.000000,0,0,0,0
2 hermite_formula_-10000.000000_10000.000000,0,0,0,0
3 hermite_formula_-10000.000000_10000.000000,0,0,0,0
4 hermite_formula_-10000.000000_10000.000000,0,0,0,0
5 hermite_formula_-10000.000000_10000.000000,0,0,0,0
8 hermite_formula_-10000.000000_10000.000000,0,0,0,0
9 hermite_formula_-10000.000000_10000.000000,0,0,0,0
,0.000000029,-0.000000029,-0.000000029,0.000000029
11 hermite_formula_-1000.000000_1000.000000,Average Error,Error LB,Error UB,Abs. Worst
17 hermite_formula_-1000.000000_1000.000000,0,0,0,0
3 hermite_formula_-1000.000000_1000.000000,0,0,0,0
,0,0,0,0
0 hermite_formula_-100.000000_100.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-100.000000_100.000000,0,0,0,0
11 hermite_formula_-100.000000_100.000000,0,0,0,0
12 hermite_formula_-100.000000_100.000000,0,0,0,0
13 hermite_formula_-100.000000_100.000000,0,0,0,0
14 hermite_formula_-100.000000_100.000000,0,0,0,0
15 hermite_formula_-100.000000_100.000000,0,0,0,0
16 hermite_formula_-100.000000_100.000000,0,0,0,0
17 hermite_formula_-100.000000_100.000000,0,0,0,0
1 hermite_formula_-100.000000_100.000000,0,0,0,0
2 hermite_formula_-100.000000_100.000000,0,0,0,0
3 hermite_formula_-100.000000_100.000000,0,0,0,0
4 hermite_formula_-100.000000_100.000000,0,0,0,0
8 hermite_formula_-100.000000_100.000000,0,0,0,0
9 hermite_formula_-100.000000_100.000000,0,0,0,0
,0.000000029,-0.000000029,-0.000000029,0.000000029
0 hermite_formula_-10.000000_10.000000,Average Error,Error LB,Error UB,Abs. Worst
10 hermite_formula_-10.000000_10.000000,0,0,0,0
11 hermite_formula_-10.000000_10.000000,0,0,0,0
13 hermite_formula_-10.000000_10.000000,0,0,0,0
14 hermite_formula_-10.000000_10.000000,0,0,0,0
15 hermite_formula_-10.000000_10.000000,0,0,0,0
16 hermite_formula_-10.000000_10.000000,0,0,0,0
17 hermite_formula_-10.000000_10.000000,0,0,0,0
1 hermite_formula_-10.000000_10.000000,0,0,0,0
2 hermite_formula_-10.000000_10.000000,0,0,0,0
3 hermite_formula_-10.000000_10.000000,0,0,0,0
4 hermite_formula_-10.000000_10.000000,0,0,0,0
5 hermite_formula_-10.000000_10.000000,0,0,0,0
8 hermite_formula_-10.000000_10.000000,0,0,0,0
9 hermite_formula_-10.000000_10.000000,0,0,0,0
,0.000000029,-0.000000029,-0.000000029,0.000000029
42 hermite_formula_-1.000000_1.000000,Average Error,Error LB,Error UB,Abs. Worst
,0,0,0,0
0 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
11 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
12 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
13 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
14 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
16 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
17 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
1 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
2 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
3 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
4 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
6 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
7 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
9 laguerre_formula_-10000000000000000.0000000_10000000000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
11 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
12 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
13 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
14 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
15 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
16 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
17 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
1 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
2 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
3 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
4 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
5 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
7 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
