0 laguerre_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-0.100000_0.100000,0.0000000225,-0.0000000501,0.0000000567,0.0000000567
11 laguerre_formula_-0.100000_0.100000,0.0000000233,-0.0000000574,0.0000000455,0.0000000574
12 laguerre_formula_-0.100000_0.100000,0.0000000220,-0.0000000494,0.0000000472,0.0000000494
13 laguerre_formula_-0.100000_0.100000,0.0000000229,-0.0000000435,0.0000000507,0.0000000507
14 laguerre_formula_-0.100000_0.100000,0.0000000263,-0.0000000577,0.0000000514,0.0000000577
15 laguerre_formula_-0.100000_0.100000,0.0000000222,-0.0000000537,0.0000000445,0.0000000537
16 laguerre_formula_-0.100000_0.100000,0.0000000217,-0.0000000439,0.0000000539,0.0000000539
17 laguerre_formula_-0.100000_0.100000,0.0000000219,-0.0000000563,0.0000000583,0.0000000583
18 laguerre_formula_-0.100000_0.100000,0.0000000184,-0.0000000571,0.0000000411,0.0000000571
1 laguerre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-0.100000_0.100000,0.0000000204,-0.0000000436,0.0000000349,0.0000000436
2 laguerre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.100000_0.100000,0.0000000202,-0.0000000464,0.0000000518,0.0000000518
4 laguerre_formula_-0.100000_0.100000,0.0000000225,-0.0000000490,0.0000000468,0.0000000490
5 laguerre_formula_-0.100000_0.100000,0.0000000221,-0.0000000474,0.0000000457,0.0000000474
6 laguerre_formula_-0.100000_0.100000,0.0000000214,-0.0000000444,0.0000000543,0.0000000543
7 laguerre_formula_-0.100000_0.100000,0.0000000215,-0.0000000487,0.0000000547,0.0000000547
8 laguerre_formula_-0.100000_0.100000,0.0000000249,-0.0000000527,0.0000000547,0.0000000547
9 laguerre_formula_-0.100000_0.100000,0.0000000195,-0.0000000439,0.0000000546,0.0000000546
,0.0000000226,-0.0000000517,0.0000000432,0.0000000517
