14 legendre_formula_-1.01_-0.99,"Average Error","Error LB","Error UB","Abs. Worst"
16 legendre_formula_-1.01_-0.99,0.0000000500,-0.0000001109,0.0000002322,0.0000002322
17 legendre_formula_-1.01_-0.99,0.0000000200,-0.0000000426,0.0000000529,0.0000000529
18 legendre_formula_-1.01_-0.99,0.0000000237,-0.0000000568,0.0000000529,0.0000000568
1 legendre_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-1.01_-0.99,0.0000000203,-0.0000000567,0.0000000427,0.0000000567
2 legendre_formula_-1.01_-0.99,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-1.01_-0.99,0.0000000234,-0.0000000512,0.0000000421,0.0000000512
4 legendre_formula_-1.01_-0.99,0.0000000214,-0.0000000518,0.0000000497,0.0000000518
5 legendre_formula_-1.01_-0.99,0.0000000202,-0.0000000472,0.0000000479,0.0000000479
6 legendre_formula_-1.01_-0.99,0.0000000255,-0.0000000529,0.0000000575,0.0000000575
7 legendre_formula_-1.01_-0.99,0.0000000213,-0.0000000525,0.0000000533,0.0000000533
,0.0000000237,-0.0000000458,0.0000000556,0.0000000556
