0 legendre_formula_-1000000000.0000000_1000000000.000000
10 legendre_formula_-1000000000.0000000_1000000000.000000
12 legendre_formula_-1000000000.0000000_1000000000.000000
13 legendre_formula_-1000000000.0000000_1000000000.000000
14 legendre_formula_-1000000000.0000000_1000000000.000000
15 legendre_formula_-1000000000.0000000_1000000000.000000
16 legendre_formula_-1000000000.0000000_1000000000.000000
17 legendre_formula_-1000000000.0000000_1000000000.000000
18 legendre_formula_-1000000000.0000000_1000000000.000000
1 legendre_formula_-1000000000.0000000_1000000000.000000
19 legendre_formula_-1000000000.0000000_1000000000.000000
2 legendre_formula_-1000000000.0000000_1000000000.000000
3 legendre_formula_-1000000000.0000000_1000000000.000000
4 legendre_formula_-1000000000.0000000_1000000000.000000
5 legendre_formula_-1000000000.0000000_1000000000.000000
6 legendre_formula_-1000000000.0000000_1000000000.000000
7 legendre_formula_-1000000000.0000000_1000000000.000000
