0 laguerre_formula_0.9_1.1,"Average Error","Error LB","Error UB","Abs. Worst"
17 laguerre_formula_0.9_1.1,0.0000002323,-0.0000006883,0.0000006855,0.0000006883
18 laguerre_formula_0.9_1.1,0.0000001585,-0.0000005654,0.0000003880,0.0000005654
1 laguerre_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_0.9_1.1,0.0000019916,-0.0000214759,0.0000079149,0.0000214759
2 laguerre_formula_0.9_1.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_0.9_1.1,0.0000039695,-0.0000158770,0.0000430790,0.0000430790
4 laguerre_formula_0.9_1.1,0.0000000234,-0.0000000468,0.0000000550,0.0000000550
5 laguerre_formula_0.9_1.1,0.0000001808,-0.0000004921,0.0000004492,0.0000004921
6 laguerre_formula_0.9_1.1,0.0000000248,-0.0000000458,0.0000000472,0.0000000472
7 laguerre_formula_0.9_1.1,0.0000000219,-0.0000000499,0.0000000528,0.0000000528
,0.0000000232,-0.0000000534,0.0000000486,0.0000000534
