0 laguerre_formula_-1.05_-0.95
10 laguerre_formula_-1.05_-0.95
11 laguerre_formula_-1.05_-0.95
12 laguerre_formula_-1.05_-0.95
13 laguerre_formula_-1.05_-0.95
14 laguerre_formula_-1.05_-0.95
15 laguerre_formula_-1.05_-0.95
16 laguerre_formula_-1.05_-0.95
17 laguerre_formula_-1.05_-0.95
18 laguerre_formula_-1.05_-0.95
1 laguerre_formula_-1.05_-0.95
19 laguerre_formula_-1.05_-0.95
2 laguerre_formula_-1.05_-0.95
3 laguerre_formula_-1.05_-0.95
4 laguerre_formula_-1.05_-0.95
5 laguerre_formula_-1.05_-0.95
6 laguerre_formula_-1.05_-0.95
7 laguerre_formula_-1.05_-0.95
8 laguerre_formula_-1.05_-0.95
9 laguerre_formula_-1.05_-0.95
