0 legendre_formula_-10000000.0000000_100000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-10000000.0000000_100000000.000000,0.0000000005,0.0000000000,0.0000000293,0.0000000293
12 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-10000000.0000000_100000000.000000,0.0000000017,0.0000000000,0.0000001049,0.0000001049
2 legendre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-10000000.0000000_100000000.000000,0.0000000005,-0.0000000288,0.0000000000,0.0000000288
4 legendre_formula_-10000000.0000000_100000000.000000,0.0000000053,-0.0000000291,0.0000001081,0.0000001081
5 legendre_formula_-10000000.0000000_100000000.000000,0.0000000278,-0.0000001270,0.0000001407,0.0000001407
6 legendre_formula_-10000000.0000000_100000000.000000,0.0000000425,-0.0000001298,0.0000001268,0.0000001298
7 legendre_formula_-10000000.0000000_100000000.000000,0.0000000284,-0.0000000723,0.0000000817,0.0000000817
8 legendre_formula_-10000000.0000000_100000000.000000,0.0000000209,-0.0000000541,0.0000000560,0.0000000560
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
